,name,state,linkedin_industry,website_url,check_robots
1917,Build38,Bayern,Security,https://www.build38.com,False
1918,DEKREFA Deutsche Kreditfabrik,Hessen,Finance & Insurance,http://www.dekrefa.de/,False
1919,theBlue.ai,Hamburg,IT and Communications,https://theblue.ai/,True
1920,E&S Kassensysteme,Nordrhein-Westfalen,IT and Communications,https://www.pos-software.de/,True
1921,Lumiform,Berlin,IT and Communications,https://lumiformapp.com,True
1922,35up,Berlin,Finance & Insurance,http://35up.com/,True
1923,Jodel,Berlin,IT and Communications,http://www.jodel.com,True
1924,Code it!,Sachsen,Education,https://code-it-studio.de/,True
1925,contentbird,Berlin,IT and Communications,http://www.contentbird.io/,False
1926,quofox,Berlin,Education,http://www.quofox.com,True
1927,Dogo,Berlin,Education,https://dogo.app/de/,True
1928,Trutz Fries,Nordrhein-Westfalen,,https://www.amalytix.com/,True
1929,Logis.P Deutschland,Nordrhein-Westfalen,IT and Communications,http://www.logisp.com,True
1930,Smartlane,Bayern,"Automotive, Logistics & Mobility",http://smartlane.de/en/,True
1931,Swarm64,Berlin,IT and Communications,https://swarm64.com/,False
1932,McArena,Baden-Württemberg,Construction/Real Estate,http://www.mcarena.de,True
1933,Coup Mobility,Niedersachsen,"Automotive, Logistics & Mobility",https://joincoup.com/en,False
1934,Infscape,Baden-Württemberg,Security,http://www.infscape.com,True
1935,Edgefy,Baden-Württemberg,Finance & Insurance,https://edgefy.net,True
1936,Division Youth,Saarland,Consulting,https://division-youth.de/,False
1937,XAVENDOS,Baden-Württemberg,"Media, Arts & Entertainment",http://WWW.XAVENDOS.DE,False
1938,Grasse Zur Composite Testing,Berlin,Industrial & Basic Materials,https://grassezur.de/de/start,True
1939,Octomated,Bayern,,https://www.octomated.com,True
1940,Particulate,Rheinland-Pfalz,"Media, Arts & Entertainment",https://particulate.de/,True
1941,inflow,Bayern,Tourism,https://www.inflow.chat/,True
1942,Vulkanic,Niedersachsen,Sports & Amusement/Gaming incl. Online,https://vulkanic.io/,True
1943,jetlite,Hamburg,Life Science & Healthcare,http://www.jetlite.de,True
1944,Weine vor Freude,Nordrhein-Westfalen,Nutrition & Consumables,https://weine-vor-freude.de/,True
1945,Black Cat Networks,Baden-Württemberg,IT and Communications,https://www.blackcat-networks.de,True
1946,SitEmotion,Baden-Württemberg,Other,http://sitemotion.de/,True
1947,my-med-24,Baden-Württemberg,Life Science & Healthcare,https://my-med-24.com,False
1948,Autoscheck24,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",http://www.autoscheck24.com,True
1949,riskmethods,Bayern,"Automotive, Logistics & Mobility",http://www.riskmethods.net/en,False
1950,SlidePresenter,Rheinland-Pfalz,Education,http://www.slidepresenter.com,True
1951,sismaware,Schleswig-Holstein,,https://www.sismaware.de,True
1952,PinVisit,Baden-Württemberg,IT and Communications,https://www.pinvisit.de/,True
1953,Tanzguru,Nordrhein-Westfalen,Sports & Amusement/Gaming incl. Online,https://www.tanzguru.de/,True
1954,Deutsche Jobmarkt,Nordrhein-Westfalen,Human Resources,https://www.deutsche-jobmarkt.de/,True
1955,Refined Laser Systems,Nordrhein-Westfalen,Industrial & Basic Materials,http://refined-lasers.com/,True
1956,EFFICIENTNODES,Bayern,IT and Communications,https://www.efficientnodes.de/,False
1957,Treatwell,Berlin,Life Science & Healthcare,https://www.treatwell.de/,True
1958,Retamo,Baden-Württemberg,IT and Communications,https://retamo.de,False
1959,Pfotendoctor,Berlin,Life Science & Healthcare,https://www.pfotendoctor.de/,False
1960,pixolus,Nordrhein-Westfalen,IT and Communications,https://pixolus.de/en,True
1961,ipolog,Baden-Württemberg,Consulting,http://ipoplan.de/,False
1962,SENSE DOJO,Bayern,Sports & Amusement/Gaming incl. Online,https://sensedojo.com/,True
1963,ampido,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",https://www.ampido.com/,True
1964,Weltbett,Schleswig-Holstein,Life Science & Healthcare,http://www.weltbett.de,True
