name,state,linkedin_industry,website_url
proSports.Zone,Mecklenburg-Vorpommern,Sports & Amusement/Gaming incl. Online,https://prosports.zone
smart AAL JK,Baden-Württemberg,Life Science & Healthcare,https://www.smart-aal.de/
LUKSO,Berlin,"Media, Arts & Entertainment",https://www.lukso.network/
Psoido,Thüringen,Security,http://www.psoido.com
Zoi,Baden-Württemberg,Consulting,http://zoi.de/
congatec,Bayern,IT and Communications,http://congatec.com/
Comps,Nordrhein-Westfalen,Sports & Amusement/Gaming incl. Online,https://www.comps-app.com
Cleverly,Berlin,Education,http://cleverly.de/
FixFirst,Berlin,IT and Communications,https://www.fixfirst.de/
growments,Baden-Württemberg,IT and Communications,https://growments.de
Qonda GmbH,Hessen,IT and Communications,https://goqonda.io/
yuri,Baden-Württemberg,IT and Communications,https://www.yurigravity.com/
Bavest Technologies,Baden-Württemberg,Finance & Insurance,https://www.bavest.co
Covestro,Nordrhein-Westfalen,Chemicals/Pharmaceuticals,https://www.covestro.de/
I-Robotics,Baden-Württemberg,Industrial & Basic Materials,http://www.i-robotics.de/
internetstores,Baden-Württemberg,Sports & Amusement/Gaming incl. Online,http://www.internetstores.de
ViertelCheck,Hamburg,Construction/Real Estate,https://viertelcheck.de
Helpling,Berlin,Human Resources,https://www.helpling.de/
comuny,Baden-Württemberg,IT and Communications,https://www.comuny.de/
AMW,Bayern,Chemicals/Pharmaceuticals,http://a-m-w.eu/
tvey,Nordrhein-Westfalen,Life Science & Healthcare,http://tvey.de/
PWP Leeway,Berlin,Finance & Insurance,https://leeway.tech/
Green Flash,Niedersachsen,Energy & Electricity,https://green-flash.de/
BondWelt,Hessen,Finance & Insurance,http://bondwelt.de/
musicube,Hamburg,"Media, Arts & Entertainment",https://musicu.be/
VEGDOG,Bayern,Nutrition & Consumables,https://www.vegdog.de/
Unibright IT,Rheinland-Pfalz,IT and Communications,http://unibright.io/
IMIQ,Bayern,"Water, Waste Treatment & Recycling",https://imiq.life/
PAIR Finance,Berlin,Finance & Insurance,https://www.pairfinance.com/
snabble,Nordrhein-Westfalen,Finance & Insurance,https://snabble.io:443/
Finiens Business Service,Bayern,Consulting,https://www.finiens.net/
ERIC x large,Nordrhein-Westfalen,Textiles,http://www.eric-large.de
mymuesli,Bayern,Nutrition & Consumables,https://www.mymuesli.com/
GASTRO-PREISBÖRSE,Schleswig-Holstein,"Water, Waste Treatment & Recycling",https://gastropreisboerse.de/
dance,Berlin,"Automotive, Logistics & Mobility",https://www.dance.co/
Retorio,Bayern,IT and Communications,https://www.retorio.com
uptea,Bayern,Nutrition & Consumables,http://uptea.de/
MetisMotion,Bayern,"Automotive, Logistics & Mobility",https://www.metismotion.com/
KOMPANIES,Nordrhein-Westfalen,Industrial & Basic Materials,https://www.kompanies.de/
deepmello,Sachsen-Anhalt,Industrial & Basic Materials,https://www.deepmello.com/
Synabi Business Solutions,Bayern,Consulting,https://synabi.com/
CrazyBunch,Hamburg,Sports & Amusement/Gaming incl. Online,https://www.crazybunch.biz/
FIRST A,Berlin,Life Science & Healthcare,http://first-a.de/
DialogShift,Berlin,Tourism,https://www.dialogshift.com/en
eCozy,Bayern,Nutrition & Consumables,http://www.ecozy.de
FinCompare,Berlin,Finance & Insurance,http://www.fincompare.de
onTrack,Baden-Württemberg,"Media, Arts & Entertainment",https://discoverontrack.com/
Olaf,Berlin,Human Resources,http://www.meetolaf.com
JeNaCell,Thüringen,Life Science & Healthcare,http://www.jenacell.com/en/
8fit,Berlin,Life Science & Healthcare,http://8fit.com
Outsmart Deutschland,Niedersachsen,,https://www.out-smart.eu
Parqet,Hamburg,Finance & Insurance,https://www.parqet.com/
Vulcavo,Nordrhein-Westfalen,Construction/Real Estate,https://vulcavo.de
Passionfroot,Berlin,IT and Communications,https://www.passionfroot.xyz/
Eventbuddy,Nordrhein-Westfalen,IT and Communications,https://event-buddy.de
CloudRail,Baden-Württemberg,Industrial & Basic Materials,http://cloudrail.com/
mStorm,Nordrhein-Westfalen,IT and Communications,https://mstorm.io/
Standsome,Rheinland-Pfalz,Other,http://standsome.com
Lehrermarktplatz,Berlin,Education,https://lehrermarktplatz.de/
Greystone Labs,Baden-Württemberg,Nutrition & Consumables,http://greystone-labs.de
Susteen Technologies,Bayern,"Water, Waste Treatment & Recycling",http://www.susteen-tech.com/
OpenCage,Niedersachsen,,https://www.opencagedata.com
DelighteX,Bayern,Sports & Amusement/Gaming incl. Online,http://www.delightex.com/
my-lab International,Berlin,Chemicals/Pharmaceuticals,http://www.my-lab.com
dp4i,Bayern,Finance & Insurance,https://dp4i.com/index.html
ClinCoach,Nordrhein-Westfalen,Life Science & Healthcare,https://www.clincoach.de/
Rebike Mobility,Bayern,"Automotive, Logistics & Mobility",https://mobility.rebike1.de/
solect,Rheinland-Pfalz,Textiles,https://solect.io/
Pandia 3D,Bayern,IT and Communications,https://pandia3d.de/
DECUS Network,Hessen,Finance & Insurance,https://www.decus.network/
StepMap,Berlin,"Media, Arts & Entertainment",https://www.stepmap.de/
QiLABS,Berlin,Life Science & Healthcare,http://www.qilabs.world
Ineratec,Baden-Württemberg,Energy & Electricity,http://www.ineratec.de
Workout Radar,Bayern,Sports & Amusement/Gaming incl. Online,https://www.workout-radar.de/
haeppie,Bayern,IT and Communications,https://www.haeppie.io/
SMP,Niedersachsen,Nutrition & Consumables,https://www.smp.ai
Bonavendi.de,Bayern,"Water, Waste Treatment & Recycling",https://www.bonavendi.de/
Unzer,Baden-Württemberg,Finance & Insurance,http://unzer.com/
Review Intelligence,Nordrhein-Westfalen,,https://www.amarate.me/
dropster Europe,Hessen,"Media, Arts & Entertainment",https://dropster.de
Oogtech AI,Hessen,Life Science & Healthcare,https://www.oogtech-ai.de/
Checkdomain,Schleswig-Holstein,IT and Communications,https://www.checkdomain.de/
Pekuna,Berlin,Finance & Insurance,https://pekuna.de
